OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,Shape__Area,Shape__Length,ID,sourceCountry,ENRICH_FID,aggregationMethod,HasData,MALES_CY,FEMALES_CY,FAGE01_CY,FAGE02_CY,FAGE03_CY,FAGE04_CY,FAGE05_CY,MAGE01_CY,MAGE02_CY,MAGE03_CY,MAGE04_CY,MAGE05_CY,PAGE01_CY,PAGE02_CY,PAGE03_CY,PAGE04_CY,PAGE05_CY,TOTHH_CY,AVGHHSZ_CY,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,Shape__Area_2,Shape__Length_2
1,250,VNM,Vietnam,1,Đà Nẵng,1,Cẩm Lệ,VN.DA.CL,,,Quận,Urban District,,Cam Le,0.00199479,0.41779118,0,VN,1,BlockApportionment:VN.Districts,1,49582,51697,11313,15647,11989,7780,4967,12255,14401,12558,7156,3212,23569,30048,24547,14936,8179,25930,3.9,1,0,4.4966102304e-05,4.4966102304e-05,0.001994912429723,0.417451934180644
2,250,VNM,Vietnam,1,Đà Nẵng,2,Hải Châu,VN.DA.HC,,,Huyện,District,,Hai Chau,0.0017288,0.28543214,1,VN,2,BlockApportionment:VN.Districts,1,87505,93505,17193,29977,20625,15832,9878,18923,26922,20261,14693,6707,36116,56898,40886,30525,16585,45348,4,2,0,4.4966102304e-05,4.4966102304e-05,0.001728347981043,0.285247128436123
3,250,VNM,Vietnam,1,Đà Nẵng,3,Hoà Vang,VN.DA.HV,,,Huyện,District,,Hoa Vang,0.06305705,1.6319328,2,VN,3,BlockApportionment:VN.Districts,1,85301,86267,21880,22480,19826,11910,10170,23748,24387,21212,10174,5780,45629,46868,41038,22084,15950,43984,3.9,3,0,4.4966102304e-05,4.4966102304e-05,0.063056985603112,1.63012657704295
4,250,VNM,Vietnam,1,Đà Nẵng,4,Liên Chiểu,VN.DA.LC,,,Huyện,District,,Lien Chieu,0.00696852,0.75836211,3,VN,4,BlockApportionment:VN.Districts,1,74756,75208,15012,32357,15168,8013,4657,16239,31579,16209,7716,3013,31251,63936,31378,15729,7670,39795,3.8,4,0,4.4966102304e-05,4.4966102304e-05,0.006828085648749,0.70558891500175
5,250,VNM,Vietnam,1,Đà Nẵng,5,Ngũ Hành Sơn,VN.DA.NH,,,Huyện,District,,Ngu Hanh Son,0.00324286,0.3570655,4,VN,5,BlockApportionment:VN.Districts,1,36274,38093,8692,12976,8109,4982,3334,9274,12215,8361,4667,1757,17967,25191,16470,9649,5091,19540,3.8,5,0,4.4966102304e-05,4.4966102304e-05,0.003242713802251,0.357034089877147
6,250,VNM,Vietnam,1,Đà Nẵng,6,Sơn Trà,VN.DA.ST,,,Huyện,District,,Son Tra,0.0048405,0.57525807,5,VN,6,BlockApportionment:VN.Districts,1,66555,69082,15589,22301,16145,9242,5806,16984,20454,17180,8294,3643,32572,42755,33325,17537,9449,31933,4.2,6,0,4.4966102304e-05,4.4966102304e-05,0.004837039569793,0.563817245491786
7,250,VNM,Vietnam,1,Đà Nẵng,7,Thanh Khê,VN.DA.TK,,,Huyện,District,,Thanh Khe,0.0007821,0.20130932,6,VN,7,BlockApportionment:VN.Districts,1,97259,101119,21161,30721,23952,15551,9733,23288,28758,24117,14817,6279,44449,59479,48069,30368,16012,49467,4,7,0,4.4966102304e-05,4.4966102304e-05,0.000782165776059,0.201194542807703
8,250,VNM,Vietnam,2,Đồng Nai,8,Định Quán,VN.DN.DQ,,,Huyện,District,,Dinh Quan,0.08066144,1.67472054,7,VN,8,BlockApportionment:VN.Districts,1,109845,112156,31302,28592,24833,17581,9848,32401,30768,23771,16087,6817,63703,59361,48604,33668,16665,54622,4.1,8,0,4.4966102304e-05,4.4966102304e-05,0.080661719182672,1.67223167873807
9,250,VNM,Vietnam,2,Đồng Nai,9,Bien Hoa,VN.DN.BH,,,Than Pho,City,,,0.01274135,0.63087003,8,VN,9,BlockApportionment:VN.Districts,1,445437,489536,98541,180146,115250,63853,31747,103934,148983,115631,57512,19377,202475,329129,230881,121365,51124,257326,3.6,9,0,4.4966102304e-05,4.4966102304e-05,0.012740848459998,0.630443011690015
10,250,VNM,Vietnam,2,Đồng Nai,10,Cẩm Mỹ,VN.DN.CM,,,Huyện,District,,,0.0384875,1.49448534,9,VN,10,BlockApportionment:VN.Districts,1,80089,81025,21803,22102,18244,12382,6492,22571,23679,17176,11943,4720,44375,45781,35420,24326,11213,37861,4.3,10,0,4.4966102304e-05,4.4966102304e-05,0.038487830456234,1.4904996505192
11,250,VNM,Vietnam,2,Đồng Nai,11,Long Khánh,VN.DN.LK,,,Huyện,District,,Long Khanh,0.01583982,0.85518416,10,VN,11,BlockApportionment:VN.Districts,1,61452,64566,15148,16563,15541,10971,6343,15839,16916,14628,10014,4055,30987,33479,30169,20985,10398,31812,4,11,0,4.4966102304e-05,4.4966102304e-05,0.015839914602566,0.853899401031223
